#DUMP_OFFSET.I,ELAPSED_USECS.D,ELAPSED_TICKS.I,CMD.S,INFLIGHT_IOS.I,TS.I,SEQID.I,LUN_SSID.I,OP.I,PHASE.I,LBA.I,NBLKS.I,LATENCY_TICKS.I,HOST_ID.I,HOST_LUN.I,LATENCY_USECS.D
3610768,81442951.096,173744962312,WR_IN,0,30736997642535324,1483333685,1,1,0,2254431928,8,121408,6,1,56.910
3610824,81443249.278,173745598432,WR_IN,0,30736997643171444,1483333686,1,1,0,3147137064,96,308972,6,1,144.831
3610852,81443250.138,173745600268,WR_IN,1,30736997643173280,1483333687,1,1,0,3147137408,16,171264,6,1,80.280
3610936,81443793.759,173746759992,WR_IN,0,30736997644333004,1483333688,1,1,0,3147482400,112,298316,6,1,139.836
3610992,81444275.220,173747787108,WR_IN,0,30736997645360120,1483333689,1,1,0,3147851336,112,313652,6,1,147.024
3611048,81476768.336,173817105756,WR_IN,0,30736997714678768,1483333690,1,1,0,3145788976,112,302948,6,1,142.007
3611104,81477178.233,173817980204,WR_IN,0,30736997715553216,1483333691,1,1,0,3145554672,112,297172,6,1,139.299
3611160,81478546.402,173820898964,WR_IN,0,30736997718471976,1483333692,1,1,0,3145554784,32,157800,6,1,73.969
3611188,81478546.983,173820900204,WR_IN,1,30736997718473216,1483333693,1,1,0,3145571008,80,273264,6,1,128.093
3611272,81480035.925,173824076612,WR_IN,0,30736997721649624,1483333694,1,1,0,3145571088,112,294616,6,1,138.101
3611328,81480992.928,173826118220,WR_IN,0,30736997723691232,1483333695,1,1,0,3145789600,16,121780,6,1,57.084
3611356,81481002.266,173826138140,WR_IN,1,30736997723711152,1483333696,1,1,0,3149710464,96,269424,6,1,126.293
3611440,81481341.090,173826860964,WR_IN,0,30736997724433976,1483333697,1,1,0,2254431936,40,164208,6,1,76.973
3611496,81481519.599,173827241784,WR_IN,0,30736997724814796,1483333698,1,1,0,2254431976,8,123016,6,1,57.664
3611552,81482040.967,173828354036,WR_IN,0,30736997725927048,1483333699,1,1,0,3145798400,112,295080,6,1,138.319
3611608,81483467.413,173831397120,WR_IN,0,30736997728970132,1483333700,1,1,0,3145814560,112,298092,6,1,139.731
3611664,81483885.956,173832290012,WR_IN,0,30736997729863024,1483333701,1,1,0,3145798512,64,254088,6,1,119.104
3611692,81483886.515,173832291204,WR_IN,1,30736997729864216,1483333702,1,1,0,3145814512,48,274648,6,1,128.741
3611776,81484475.818,173833548384,WR_IN,0,30736997731121396,1483333703,1,1,0,3145814672,80,283556,6,1,132.917
3611804,81484476.386,173833549596,WR_IN,1,30736997731122608,1483333704,1,1,0,3145587440,32,236736,6,1,110.970
3611888,81485068.196,173834812124,WR_IN,0,30736997732385136,1483333705,1,1,0,3145806904,112,301872,6,1,141.503
3611944,81485558.975,173835859120,WR_IN,0,30736997733432132,1483333706,1,1,0,3145587584,96,288824,6,1,135.386
3611972,81485559.618,173835860492,WR_IN,1,30736997733433504,1483333707,1,1,0,3145806776,16,171460,6,1,80.372
3612056,81491338.993,173848189824,WR_IN,0,30736997745762836,1483333708,1,1,0,3143728840,112,304208,6,1,142.598
3612112,81491660.197,173848875060,WR_IN,0,30736997746448072,1483333709,1,1,0,3143865248,16,124820,6,1,58.509
3612140,81491660.833,173848876416,WR_IN,1,30736997746449428,1483333710,1,1,0,3144278448,96,283916,6,1,133.086
3612224,81493005.335,173851744688,WR_IN,0,30736997749317700,1483333711,1,1,0,3143728952,112,316828,6,1,148.513
3612280,81493919.469,173853694840,WR_IN,0,30736997751267852,1483333712,1,1,0,3143729176,112,302304,6,1,141.705
3612336,81494191.513,173854275200,WR_IN,0,30736997751848212,1483333713,1,1,0,3143729064,112,356340,6,1,167.034
3612392,81494506.411,173854946984,WR_IN,0,30736997752519996,1483333714,1,1,0,3143729288,112,320048,6,1,150.023
3612448,81494791.762,173855555732,WR_IN,0,30736997753128744,1483333715,1,1,0,3143729400,112,317168,6,1,148.673
3612504,81496310.812,173858796372,WR_IN,0,30736997756369384,1483333716,1,1,0,3143729512,112,317132,6,1,148.656
3612560,81496833.063,173859910508,WR_IN,0,30736997757483520,1483333717,1,1,0,3143726184,24,182480,6,1,85.538
3612588,81496833.637,173859911732,WR_IN,1,30736997757484744,1483333718,1,1,0,3143726320,16,182512,6,1,85.553
3612616,81496845.691,173859937448,WR_IN,2,30736997757510460,1483333719,1,1,0,3143728320,72,257188,6,1,120.557
3612728,81505074.448,173877492128,WR_IN,0,30736997775065140,1483333720,1,1,0,3143730264,40,195288,6,1,91.541
3612756,81505075.057,173877493428,WR_IN,1,30736997775066440,1483333721,1,1,0,3143730512,72,299804,6,1,140.533
3612840,81509152.383,173886191724,WR_IN,0,30736997783764736,1483333722,1,1,0,3143729624,24,168660,6,1,79.059
3612868,81509152.959,173886192952,WR_IN,1,30736997783765964,1483333723,1,1,0,3143730176,88,306372,6,1,143.612
3612952,81509517.579,173886970808,WR_IN,0,30736997784543820,1483333724,1,1,0,3146316112,112,298584,6,1,139.961
3613008,81509855.497,173887691700,WR_IN,0,30736997785264712,1483333725,1,1,0,3146081312,96,287832,6,1,134.921
3613036,81509856.427,173887693684,WR_IN,1,30736997785266696,1483333726,1,1,0,3146081648,16,169288,6,1,79.354
3613120,81510346.942,173888740116,WR_IN,0,30736997786313128,1483333727,1,1,0,3146081200,112,295000,6,1,138.281
3613176,81511040.473,173890219648,WR_IN,0,30736997787792660,1483333728,1,1,0,3146081776,112,294752,6,1,138.165
3613232,81512212.428,173892719820,WR_IN,0,30736997790292832,1483333729,1,1,0,3146079856,16,125908,6,1,59.019
3613260,81512213.068,173892721184,WR_IN,1,30736997790294196,1483333730,1,1,0,3146079888,48,242836,6,1,113.829
3613288,81512224.460,173892745488,WR_IN,2,30736997790318500,1483333731,1,1,0,3146080320,48,240260,6,1,112.622
3613400,81514313.977,173897203124,WR_IN,0,30736997794776136,1483333732,1,1,0,3146080368,112,296280,6,1,138.881
3613456,81515263.147,173899228020,WR_IN,0,30736997796801032,1483333733,1,1,0,3144370432,112,300312,6,1,140.771
3613512,81519595.801,173908471016,WR_IN,0,30736997806044028,1483333734,1,1,0,3146080480,16,117608,6,1,55.129
3613540,81519596.390,173908472272,WR_IN,1,30736997806045284,1483333735,1,1,0,3149564416,64,274056,6,1,128.464
3613568,81519609.110,173908499408,WR_IN,2,30736997806072420,1483333736,1,1,0,3149710592,32,207480,6,1,97.256
3613680,81519930.534,173909185112,WR_IN,0,30736997806758124,1483333737,1,1,0,2254431984,40,163024,6,1,76.418
3613736,81520045.278,173909429900,WR_IN,0,30736997807002912,1483333738,1,1,0,2254432024,8,122532,6,1,57.437
3613792,81521649.163,173912851520,WR_IN,0,30736997810424532,1483333739,1,1,0,3144363352,112,305604,6,1,143.252
3613848,81522226.683,173914083564,WR_IN,0,30736997811656576,1483333740,1,1,0,3144370544,112,299400,6,1,140.344
3613904,81523905.358,173917664736,WR_IN,0,30736997815237748,1483333741,1,1,0,3144363464,112,336096,6,1,157.545
3613960,81526613.371,173923441832,WR_IN,0,30736997821014844,1483333742,1,1,0,3146636368,48,215932,6,1,101.218
3613988,81526613.988,173923443148,WR_IN,1,30736997821016160,1483333743,1,1,0,3146636528,64,268824,6,1,126.011
3614072,81527142.519,173924570680,WR_IN,0,30736997822143692,1483333744,1,1,0,3147154800,112,297884,6,1,139.633
3614128,81527859.980,173926101264,WR_IN,0,30736997823674276,1483333745,1,1,0,3146636592,112,296732,6,1,139.093
3614184,81529221.142,173929005076,WR_IN,0,30736997826578088,1483333746,1,1,0,3146446928,16,120480,6,1,56.475
3614212,81529221.766,173929006408,WR_IN,1,30736997826579420,1483333747,1,1,0,3146360920,96,287412,6,1,134.724
3614296,81530689.805,173932138224,WR_IN,0,30736997829711236,1483333748,1,1,0,3146473768,112,304352,6,1,142.665
3614352,81531555.697,173933985460,WR_IN,0,30736997831558472,1483333749,1,1,0,3147711760,112,300924,6,1,141.058
3614408,81532237.149,173935439224,WR_IN,0,30736997833012236,1483333750,1,1,0,3132611112,112,304700,6,1,142.828
3614464,81533121.271,173937325352,WR_IN,0,30736997834898364,1483333751,1,1,0,3132636592,48,279060,6,1,130.809
3614492,81533121.943,173937326784,WR_IN,1,30736997834899796,1483333752,1,1,0,3132610088,24,278596,6,1,130.592
3614520,81533138.544,173937362200,WR_IN,2,30736997834935212,1483333753,1,1,0,3132610624,40,271596,6,1,127.311
3614632,81534036.907,173939278708,WR_IN,0,30736997836851720,1483333754,1,1,0,3132610888,112,303576,6,1,142.301
3614688,81535360.535,173942102448,WR_IN,0,30736997839675460,1483333755,1,1,0,3132610776,112,335944,6,1,157.474
3614744,81537148.278,173945916300,WR_IN,0,30736997843489312,1483333756,1,1,0,3132611224,112,316264,6,1,148.249
3614800,81539178.185,173950246768,WR_IN,0,30736997847819780,1483333757,1,1,0,3132613888,112,299288,6,1,140.291
3614856,81539520.463,173950976960,WR_IN,0,30736997848549972,1483333758,1,1,0,3132611560,32,164580,6,1,77.147
3614884,81539521.160,173950978448,WR_IN,1,30736997848551460,1483333759,1,1,0,3132613696,80,276040,6,1,129.394
3614968,81540508.500,173953084772,WR_IN,0,30736997850657784,1483333760,1,1,0,3132611336,112,316336,6,1,148.283
3615024,81541137.892,173954427476,WR_IN,0,30736997852000488,1483333761,1,1,0,3132611000,112,336208,6,1,157.598
3615080,81542320.605,173956950596,WR_IN,0,30736997854523608,1483333762,1,1,0,3132611448,112,336160,6,1,157.575
3615136,81543763.875,173960029572,WR_IN,0,30736997857602584,1483333763,1,1,0,3132613776,112,295180,6,1,138.366
3615192,81545366.814,173963449176,WR_IN,0,30736997861022188,1483333764,1,1,0,3132614000,112,296936,6,1,139.189
3615248,81545793.751,173964359976,WR_IN,0,30736997861932988,1483333765,1,1,0,3143043936,48,231992,6,1,108.746
3615276,81545794.361,173964361276,WR_IN,1,30736997861934288,1483333766,1,1,0,3143043312,16,184040,6,1,86.269
3615304,81545806.899,173964388024,WR_IN,2,30736997861961036,1483333767,1,1,0,3143043520,48,235148,6,1,110.226
3615416,81547806.892,173968654676,WR_IN,0,30736997866227688,1483333768,1,1,0,3123611344,112,301596,6,1,141.373
3615472,81549899.731,173973119400,WR_IN,0,30736997870692412,1483333769,1,1,0,3146166104,32,175500,6,1,82.266
3615500,81549900.343,173973120704,WR_IN,1,30736997870693716,1483333770,1,1,0,3146227216,48,283176,6,1,132.739
3615528,81549914.111,173973150076,WR_IN,2,30736997870723088,1483333771,1,1,0,3146227496,32,232240,6,1,108.863
3615640,81550145.060,173973642768,WR_IN,0,30736997871215780,1483333772,1,1,0,3146227528,112,318820,6,1,149.447
3615696,81550437.847,173974267380,WR_IN,0,30736997871840392,1483333773,1,1,0,3146227640,48,245532,6,1,115.093
3615724,81550438.516,173974268808,WR_IN,1,30736997871841820,1483333774,1,1,0,3146228224,64,278140,6,1,130.378
3615808,81550690.878,173974807180,WR_IN,0,30736997872380192,1483333775,1,1,0,3146228288,112,296516,6,1,138.992
3615864,81565643.289,174006705656,WR_IN,0,30736997904278668,1483333776,1,1,0,3142972464,16,120556,6,1,56.511
3615892,81565643.898,174006706956,WR_IN,1,30736997904279968,1483333777,1,1,0,3142976448,96,283520,6,1,132.900
3615976,81566574.825,174008692932,WR_IN,0,30736997906265944,1483333778,1,1,0,3142931320,80,288916,6,1,135.429
3616004,81566575.391,174008694140,WR_IN,1,30736997906267152,1483333779,1,1,0,3142972432,32,240848,6,1,112.898
3616088,81568425.656,174012641372,WR_IN,0,30736997910214384,1483333780,1,1,0,3143043040,32,159864,6,1,74.936
3616116,81568426.218,174012642572,WR_IN,1,30736997910215584,1483333781,1,1,0,3143043328,80,275652,6,1,129.212
3616200,81570538.676,174017149148,WR_IN,0,30736997914722160,1483333782,1,1,0,3142976544,96,286712,6,1,134.396
3616228,81570539.613,174017151148,WR_IN,1,30736997914724160,1483333783,1,1,0,3143043024,16,162932,6,1,76.374
3616312,81571958.131,174020177320,WR_IN,0,30736997917750332,1483333784,1,1,0,3143043408,112,296188,6,1,138.838
3616368,81577925.613,174032907948,WR_IN,0,30736997930480960,1483333785,1,1,0,3143043568,112,296496,6,1,138.983
3616424,81580083.676,174037511816,WR_IN,0,30736997935084828,1483333786,1,1,0,3147429552,112,296940,6,1,139.191
3616480,81580763.178,174038961420,WR_IN,0,30736997936534432,1483333787,1,1,0,3147429440,112,297584,6,1,139.493
3616536,81582760.380,174043222116,WR_IN,0,30736997940795128,1483333788,1,1,0,3143060736,112,297652,6,1,139.524
3616592,81583589.951,174044991868,WR_IN,0,30736997942564880,1483333789,1,1,0,3147429664,96,286320,6,1,134.213
3616620,81583590.534,174044993112,WR_IN,1,30736997942566124,1483333790,1,1,0,3147429872,16,168388,6,1,78.932
3616704,81584281.012,174046466132,WR_IN,0,30736997944039144,1483333791,1,1,0,3147429888,112,297276,6,1,139.348
3616760,81589910.083,174058474816,WR_IN,0,30736997956047828,1483333792,1,1,0,3147455960,112,303284,6,1,142.164
3616816,81591585.316,174062048648,WR_IN,0,30736997959621660,1483333793,1,1,0,3147422896,16,119920,6,1,56.213
3616844,81591585.896,174062049884,WR_IN,1,30736997959622896,1483333794,1,1,0,3147428928,96,284808,6,1,133.504
3616928,81592777.035,174064590980,WR_IN,0,30736997962163992,1483333795,1,1,0,3147430000,112,296844,6,1,139.146
3616984,81594478.869,174068221560,WR_IN,0,30736997965794572,1483333796,1,1,0,3142931208,112,334120,6,1,156.619
3617040,81596816.308,174073208096,WR_IN,0,30736997970781108,1483333797,1,1,0,3147455848,112,336512,6,1,157.740
